,title,artists,album,length
0,Toosie Slide,Drake,Toosie Slide,4:07
1,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
2,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
3,Blinding Lights,The Weeknd,Blinding Lights,3:21
4,Don't Start Now,Dua Lipa,Don't Start Now,3:03
5,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
6,Sunday Best,Surfaces,Where the Light Is,2:38
7,Say So,Doja Cat,Hot Pink,3:57
8,Intentions,"Justin Bieber, Quavo",Intentions,3:32
9,Boyfriend,Selena Gomez,Rare (Deluxe),2:41
10,Break My Heart,Dua Lipa,Break My Heart,3:41
11,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
12,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
13,In Your Eyes,The Weeknd,After Hours,3:57
14,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,3:03
15,Boss Bitch,Doja Cat,Boss Bitch,2:14
16,Falling,Trevor Daniel,Falling,2:39
17,Adore You,Harry Styles,Adore You,3:27
18,Like It Is,"Kygo, Zara Larsson, Tyga",Like It Is,3:03
19,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
20,Savage,Megan Thee Stallion,Suga,2:35
21,Physical,Dua Lipa,Physical,3:13
22,Level of Concern,Twenty One Pilots,Level of Concern,3:40
23,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
24,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
25,Breaking Me,"Topic, A7S",Breaking Me,2:46
26,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
27,Salt,Ava Max,Salt,3:00
28,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
29,After Hours,The Weeknd,After Hours,6:01
30,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
31,ROXANNE,Arizona Zervas,ROXANNE,2:43
32,You should be sad,Halsey,You should be sad,3:25
33,Stupid Love,Lady Gaga,Stupid Love,3:13
34,FIND MY WAY,DaBaby,FIND MY WAY,2:19
35,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
36,Selfish,Madison Beer,Selfish,3:43
37,Before You Go,Lewis Capaldi,Before You Go,3:35
38,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
39,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
40,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),2:53
41,Rojo,J Balvin,Rojo,2:30
42,Maniac,Conan Gray,Maniac,3:05
43,Circles,Post Malone,Circles,3:34
44,Turks (feat. Travis Scott),"NAV, Gunna, Travis Scott",Turks,2:41
45,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me For Being Antisocial,3:40
46,Moral of the Story,Ashe,Moral of the Story,3:21
47,Dance Monkey,Tones And I,Dance Monkey,3:29
48,That Way,Lil Uzi Vert,That Way,3:32
49,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
