,title,artists,album,length
0,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
1,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
2,Watermelon Sugar,Harry Styles,Fine Line,2:54
3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
4,Smile (with The Weeknd),"Juice WRLD, The Weeknd",Legends Never Die,3:16
5,Breaking Me,"Topic, A7S",Breaking Me,2:46
6,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
7,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
8,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
9,my future,Billie Eilish,my future,3:28
10,Wishing Well,Juice WRLD,Legends Never Die,3:14
11,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
12,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
13,Break My Heart,Dua Lipa,Break My Heart,3:41
14,Nobody's Love,Maroon 5,Nobody's Love,3:31
15,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
16,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
17,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
18,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
19,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Shoot For The Stars Aim For The Moon,3:21
20,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",3:47
21,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
22,My Oasis (feat. Burna Boy),"Sam Smith, Burna Boy",My Oasis (feat. Burna Boy),2:59
23,cardigan,Taylor Swift,folklore,3:59
24,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
25,Kings & Queens,Ava Max,Kings & Queens,2:42
26,you broke me first,Tate McRae,you broke me first,2:49
27,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
28,Party Girl,StaySolidRocky,Party Girl,2:27
29,Mood (feat. Iann Dior),"24kGoldn, iann dior",Mood (feat. Iann Dior),2:20
30,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",folklore,4:45
31,Blinding Lights,The Weeknd,Blinding Lights,3:21
32,Take You Dancing,Jason Derulo,Take You Dancing,3:10
33,Secrets,"Regard, RAYE",Secrets,2:56
34,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
35,Mood Swings (feat. Lil Tjay),"Pop Smoke, Lil Tjay",Shoot For The Stars Aim For The Moon,3:33
36,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
37,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),3:06
38,Intentions,"Justin Bieber, Quavo",Intentions,3:32
39,Djadja (feat. Maluma) - Remix,"Aya Nakamura, Maluma",Djadja (feat. Maluma) [Remix],2:46
40,Rags2Riches 2 (feat. Lil Baby),"Rod Wave, Lil Baby",Pray 4 Love (Deluxe),3:55
41,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
42,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
43,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
44,Mariposa,Peach Tree Rascals,Mariposa,3:30
45,Control,Zoe Wees,Control,3:50
46,Heather,Conan Gray,Kid Krow,3:18
47,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
48,death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),2:53
49,Sunday Best,Surfaces,Where the Light Is,2:38
