,title,artists,album,length
0,Circles,Post Malone,Circles,3:34
1,Blinding Lights,The Weeknd,Blinding Lights,3:21
2,Falling,Trevor Daniel,Falling,2:39
3,Adore You,Harry Styles,Adore You,3:27
4,Don't Start Now,Dua Lipa,Don't Start Now,3:03
5,Dance Monkey,Tones and I,Dance Monkey,3:29
6,ROXANNE,Arizona Zervas,ROXANNE,2:43
7,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
8,everything i wanted,Billie Eilish,everything i wanted,4:05
9,Heartless,The Weeknd,Heartless,3:20
10,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
11,Memories,Maroon 5,Memories,3:09
12,hot girl bummer,blackbear,hot girl bummer,3:05
13,Before You Go,Lewis Capaldi,Before You Go,3:35
14,Up All Night,Khalid,Up All Night,2:37
15,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
16,Mean It,"Lauv, LANY",how i'm feeling,3:52
17,Watermelon Sugar,Harry Styles,Watermelon Sugar,2:54
18,Liar,Camila Cabello,Liar,3:27
19,Family,"The Chainsmokers, Kygo",World War Joy,3:14
20,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
21,Look At Her Now,Selena Gomez,Look At Her Now,2:42
22,Futsal Shuffle 2020,Lil Uzi Vert,Futsal Shuffle 2020,3:18
23,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
24,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) [Remix],2:39
25,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
26,Graveyard,Halsey,Graveyard,3:01
27,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
28,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
29,Maniac,Conan Gray,Maniac,3:05
30,Ride It,Regard,Ride It,2:37
31,Candy,Doja Cat,Amala,3:10
32,July,Noah Cyrus,July,2:36
33,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
34,Out Of Your Mind (feat. Swae Lee & Chris Brown),"French Montana, Swae Lee, Chris Brown",MONTANA,3:14
35,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
36,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2:55
37,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
38,No Idea,Don Toliver,No Idea,2:33
39,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
40,Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",Lover (Remix) [feat. Shawn Mendes],3:41
41,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
42,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
43,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
44,Who Needs Love,Trippie Redd,Who Needs Love,2:38
45,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
46,BOP,DaBaby,KIRK,2:39
47,Vete,Bad Bunny,Vete,3:12
48,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
49,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
50,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,3:59
