,title,artists,album,length
0,Stupid Love,Lady Gaga,Stupid Love,3:13
1,Intentions,"Justin Bieber, Quavo",Intentions,3:32
2,Don't Start Now,Dua Lipa,Don't Start Now,3:03
3,Blinding Lights,The Weeknd,Blinding Lights,3:21
4,Say So,Doja Cat,Hot Pink,3:57
5,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
6,Falling,Trevor Daniel,Falling,2:39
7,No Time To Die,Billie Eilish,No Time To Die,4:02
8,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
9,You should be sad,Halsey,You should be sad,3:25
10,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
11,After Hours,The Weeknd,After Hours,6:01
12,Forever (feat. Post Malone & Clever),"Justin Bieber, Post Malone, Clever",Changes,3:39
13,Feel Me,Selena Gomez,Feel Me,3:46
14,Sunday Best,Surfaces,Where the Light Is,2:38
15,ROXANNE,Arizona Zervas,ROXANNE,2:43
16,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
17,The Other Side (from Trolls World Tour),"SZA, Justin Timberlake",The Other Side (from Trolls World Tour),3:08
18,Adore You,Harry Styles,Adore You,3:27
19,death bed (feat. beabadoobee),"Powfu, beabadoobee",death bed (feat. beabadoobee),2:53
20,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
21,To Die For,Sam Smith,To Die For,3:13
22,Physical,Dua Lipa,Physical,3:13
23,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me For Being Antisocial,3:40
24,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
25,Old Me,5 Seconds of Summer,Old Me,3:04
26,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
27,ON (Feat. Sia),"BTS, Sia",MAP OF THE SOUL : 7,4:06
28,Dance Monkey,Tones and I,Dance Monkey,3:29
29,Modern Loneliness,Lauv,how i'm feeling,4:12
30,Before You Go,Lewis Capaldi,Before You Go,3:35
31,me & ur ghost,blackbear,me & ur ghost,3:20
32,Woah,Lil Baby,Woah,3:03
33,everything i wanted,Billie Eilish,everything i wanted,4:05
34,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,3:00
35,Ignorantes,"Bad Bunny, Sech",Ignorantes,3:30
36,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
37,No Judgement,Niall Horan,No Judgement,2:56
38,Never Seen The Rain,Tones and I,The Kids Are Coming,3:20
39,Moral of the Story,Ashe,Moral of the Story,3:21
40,Rare,Selena Gomez,Rare,3:40
41,Circles,Post Malone,Circles,3:34
42,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
43,SUGAR,BROCKHAMPTON,GINGER,3:24
44,Maniac,Conan Gray,Maniac,3:05
45,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
46,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
47,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",2:59
48,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
49,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,3:30
