,title,artists,album,length
0,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
1,Rare,Selena Gomez,Rare,3:40
2,Yummy,Justin Bieber,Yummy,3:30
3,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
4,Blinding Lights,The Weeknd,Blinding Lights,3:21
5,Don't Start Now,Dua Lipa,Don't Start Now,3:03
6,Falling,Trevor Daniel,Falling,2:39
7,ROXANNE,Arizona Zervas,ROXANNE,2:43
8,You should be sad,Halsey,You should be sad,3:25
9,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
10,Dance Monkey,Tones and I,Dance Monkey,3:29
11,Adore You,Harry Styles,Adore You,3:27
12,everything i wanted,Billie Eilish,everything i wanted,4:05
13,Circles,Post Malone,Circles,3:34
14,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"Travis Scott, ROSALÍA, Lil Baby",JACKBOYS,4:04
15,Good News,Mac Miller,Good News,5:42
16,Eleven,Khalid,Eleven,3:26
17,Watermelon Sugar,Harry Styles,Watermelon Sugar,2:54
18,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
19,Before You Go,Lewis Capaldi,Before You Go,3:35
20,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
21,Say So,Doja Cat,Hot Pink,3:57
22,hot girl bummer,blackbear,hot girl bummer,3:05
23,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
24,Memories,Maroon 5,Memories,3:09
25,Mean It,"Lauv, LANY",how i'm feeling,3:52
26,Heartless,The Weeknd,Heartless,3:20
27,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
28,Never Seen The Rain,Tones and I,The Kids Are Coming,3:20
29,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
30,FML,Arizona Zervas,Living Facts,3:43
31,Diamonds (with Normani),"Megan Thee Stallion, Normani",Diamonds (with Normani),3:19
32,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
33,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
34,Maniac,Conan Gray,Maniac,3:05
35,July,Noah Cyrus,July,2:36
36,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
37,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
38,SUGAR,BROCKHAMPTON,GINGER,3:24
39,Ayy Macarena,Tyga,Ayy Macarena,2:11
40,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
41,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",2:59
42,No Idea,Don Toliver,No Idea,2:33
43,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
44,Mind Is A Prison,Alec Benjamin,Mind Is A Prison,2:42
45,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",Perfect Ten,3:00
46,BOP,DaBaby,KIRK,2:39
47,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) [Remix],2:39
48,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
49,Futsal Shuffle 2020,Lil Uzi Vert,Futsal Shuffle 2020,3:18
