,title,artists,album,length
0,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
1,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
2,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",Goodbyes (Feat. Young Thug),2:54
3,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
4,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,"Lil Nas X, RM, BTS",Old Town Road (feat. RM of BTS) [Seoul Town Road Remix],1:54
5,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",bad guy (with Justin Bieber),3:14
6,The Archer,Taylor Swift,The Archer,3:31
7,One Thing Right - feat. Kane Brown,"Marshmello, Kane Brown",One Thing Right (feat. Kane Brown),3:01
8,Truth Hurts,Lizzo,Truth Hurts,2:53
9,On A Roll,Ashley O,On A Roll,2:34
10,Lalala,"Y2K, bbno$",Lalala,2:40
11,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
12,Antisocial (with Travis Scott),"Ed Sheeran, Travis Scott",No.6 Collaborations Project,2:41
13,Panini,Lil Nas X,7 EP,1:54
14,I Think I'm OKAY (with YUNGBLUD & Travis Barker),"Machine Gun Kelly, YUNGBLUD, Travis Barker",I Think I'm OKAY (with YUNGBLUD & Travis Barker),2:50
15,Don't Check On Me (feat. Justin Bieber & Ink),"Chris Brown, Justin Bieber, Ink",Don't Check On Me (feat. Justin Bieber & Ink),3:24
16,Takeaway (with ILLENIUM & Lennon Stella),"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
17,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Loco Contigo (with J. Balvin & Tyga),3:05
18,Good as Hell,Lizzo,Good As Hell,2:39
19,The Bones,Maren Morris,GIRL,3:17
20,It's You,Ali Gatie,It's You,3:32
21,BROWN SKIN GIRL,"Beyoncé, SAINt JHN, WizKid, Blue Ivy Carter",The Lion King: The Gift,4:08
22,Ransom,Lil Tecca,Ransom,2:11
23,Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),3:06
24,Dance Monkey,Tones and I,Dance Monkey,3:29
25,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
26,Time - Edit,NF,Time,3:50
27,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
28,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",4:51
29,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),2:56
30,Call You Mine (with Bebe Rexha),"The Chainsmokers, Bebe Rexha",World War Joy,3:37
31,MOOD 4 EVA,"Beyoncé, JAY Z, Childish Gambino, Oumou Sangaré",The Lion King: The Gift,4:32
32,Never Really Over,Katy Perry,Never Really Over,3:43
33,Better Luck Next Time,Kelsea Ballerini,Better Luck Next Time,2:52
34,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2:51
35,comethru,Jeremy Zucker,"summer,",3:01
36,The Git Up,Blanco Brown,The Git Up,3:20
37,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",The Best In The World Pack,3:25
38,gone girl,"iann dior, Trippie Redd",gone girl,2:16
39,Jesus In LA,Alec Benjamin,Jesus In LA,2:52
40,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:43
41,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
42,Rodeo,"Lil Nas X, Cardi B",7 EP,2:38
43,Alien Boy,Oliver Tree,Alien Boy EP,2:43
44,Rescue Me,OneRepublic,Rescue Me,2:38
45,Easier,5 Seconds of Summer,Easier,2:37
46,Mad Love,Mabel,Mad Love,2:49
47,If I Can't Have You,Shawn Mendes,If I Can't Have You,3:10
48,Ritual,"Tiësto, Jonas Blue, Rita Ora",Ritual,3:18
49,Con Calma,"Daddy Yankee, Snow",Con Calma,3:13
