,title,artists,album,length
0,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
1,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
2,Panini,Lil Nas X,7 EP,1:54
3,You Need To Calm Down,Taylor Swift,You Need To Calm Down,2:51
4,Call You Mine (with Bebe Rexha),"The Chainsmokers, Bebe Rexha",World War Joy,3:37
5,Never Really Over,Katy Perry,Never Really Over,3:43
6,Only Human,Jonas Brothers,Happiness Begins,3:03
7,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
8,One Thing Right - feat. Kane Brown,"Marshmello, Kane Brown",One Thing Right (feat. Kane Brown),3:01
9,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",The Best In The World Pack,3:25
10,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:43
11,QUE PRETENDES,"J Balvin, Bad Bunny",OASIS,3:42
12,Rodeo,"Lil Nas X, Cardi B",7 EP,2:38
13,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
14,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
15,On A Roll,Ashley O,On A Roll,2:34
16,Heaven,Avicii,TIM,4:37
17,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
18,It's You,Ali Gatie,It's You,3:32
19,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Find U Again (feat. Camila Cabello),2:56
20,Mad Love,Mabel,Mad Love,2:49
21,Don't Check On Me (feat. Justin Bieber & Ink),"Chris Brown, Justin Bieber, Ink",Don't Check On Me (feat. Justin Bieber & Ink),3:24
22,Focus (feat. 21 Savage),"Bazzi, 21 Savage",Focus (feat. 21 Savage),2:35
23,Rescue Me,OneRepublic,Rescue Me,2:38
24,All Around The World (La La La),"R3HAB, A Touch Of Class",All Around The World (La La La),2:27
25,Mother's Daughter,Miley Cyrus,SHE IS COMING,3:39
26,If I Can't Have You,Shawn Mendes,If I Can't Have You,3:10
27,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",Cross Me (feat. Chance the Rapper & PnB Rock),3:26
28,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
29,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Loco Contigo (with J. Balvin & Tyga),3:05
30,Easier,5 Seconds of Summer,Easier,2:37
31,I Think I'm OKAY (with YUNGBLUD & Travis Barker),"Machine Gun Kelly, YUNGBLUD, Travis Barker",I Think I'm OKAY (with YUNGBLUD & Travis Barker),2:50
32,No Guidance (feat. Drake),"Chris Brown, Drake",No Guidance (feat. Drake),4:20
33,Civil War,Russ,Civil War,2:23
34,Ritual,"Tiësto, Jonas Blue, Rita Ora",Ritual,3:18
35,Sad Song (feat. TINI),"Alesso, TINI",Sad Song (feat. TINI),2:34
36,Sanctuary,Joji,Sanctuary,3:00
37,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,2:37
38,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,Spotify Singles,3:52
39,La La Land (feat. YG),"Bryce Vine, YG",La La Land (feat. YG),2:57
40,Dear Society,Madison Beer,Dear Society,2:59
41,Truth Hurts,Lizzo,Truth Hurts,2:53
42,Lalala,"Y2K, bbno$",Lalala,2:40
43,EARFQUAKE,"Tyler, The Creator",IGOR,3:10
44,The London (feat. J. Cole & Travis Scott),"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),3:20
45,Con Calma,"Daddy Yankee, Snow",Con Calma,3:13
46,The Git Up,Blanco Brown,The Git Up,3:20
47,Ransom,Lil Tecca,Ransom,2:11
48,Go Loko,"YG, Tyga, Jon Z",Go Loko,4:59
49,Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,2:32
