,title,artists,album,length
0,Blinding Lights,The Weeknd,Blinding Lights,3:21
1,Don't Start Now,Dua Lipa,Don't Start Now,3:03
2,Intentions,"Justin Bieber, Quavo",Intentions,3:32
3,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
4,Say So,Doja Cat,Hot Pink,3:57
5,That Way,Lil Uzi Vert,That Way,3:32
6,Falling,Trevor Daniel,Falling,2:39
7,Sunday Best,Surfaces,Where the Light Is,2:38
8,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
9,Stupid Love,Lady Gaga,Stupid Love,3:13
10,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",Romance,2:50
11,After Hours,The Weeknd,After Hours,6:01
12,Adore You,Harry Styles,Adore You,3:27
13,death bed (feat. beabadoobee),"Powfu, beabadoobee",death bed (feat. beabadoobee),2:53
14,La Difícil,Bad Bunny,YHLQMDLG,2:43
15,Forever (feat. Post Malone & Clever),"Justin Bieber, Post Malone, Clever",Changes,3:39
16,You should be sad,Halsey,You should be sad,3:25
17,I Love Me,Demi Lovato,I Love Me,3:23
18,ROXANNE,Arizona Zervas,ROXANNE,2:43
19,Physical,Dua Lipa,Physical,3:13
20,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
21,Feel Me,Selena Gomez,Feel Me,3:46
22,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
23,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
24,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,1:52
25,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
26,To Die For,Sam Smith,To Die For,3:13
27,B.S. (feat. H.E.R.),"Jhené Aiko, H.E.R.",Chilombo,3:32
28,What If I Told You That I Love You,Ali Gatie,What If I Told You That I Love You,3:13
29,No Time To Die,Billie Eilish,No Time To Die,4:02
30,Young & Alive,Bazzi,Young & Alive,2:40
31,Rojo,J Balvin,Rojo,2:30
32,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
33,No Judgement,Niall Horan,No Judgement,2:56
34,Before You Go,Lewis Capaldi,Before You Go,3:35
35,Modern Loneliness,Lauv,how i'm feeling,4:12
36,Dance Monkey,Tones And I,Dance Monkey,3:29
37,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
38,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",Please Excuse Me For Being Antisocial,3:40
39,The Other Side (from Trolls World Tour),"SZA, Justin Timberlake",The Other Side (from Trolls World Tour),3:08
40,Maniac,Conan Gray,Maniac,3:05
41,Moral of the Story,Ashe,Moral of the Story,3:21
42,Never Seen The Rain,Tones And I,The Kids Are Coming,3:20
43,Circles,Post Malone,Circles,3:34
44,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,3:30
45,Old Me,5 Seconds of Summer,Old Me,3:04
46,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
47,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,3:00
48,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
49,Woah,Lil Baby,Woah,3:03
