,title,artists,album,length
0,If I Can't Have You,Shawn Mendes,If I Can't Have You,3:10
1,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
2,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
3,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:43
4,EARFQUAKE,"Tyler, The Creator",IGOR,3:10
5,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,2:37
6,Truth Hurts,Lizzo,Truth Hurts,2:53
7,Rescue Me,OneRepublic,Rescue Me,2:38
8,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
9,Nightmare,Halsey,Nightmare,3:51
10,Go Loko,"YG, Tyga, Jon Z",Go Loko,4:59
11,Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",Cross Me (feat. Chance the Rapper & PnB Rock),3:26
12,Suge,DaBaby,Baby On Baby,2:43
13,Paradise,Bazzi,Paradise,2:49
14,Easier,5 Seconds of Summer,Easier,2:37
15,Just Us (feat. SZA),"DJ Khaled, SZA",Father Of Asahd,3:41
16,The London (feat. J. Cole & Travis Scott),"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),3:20
17,Love Me Less (feat. Quinn XCII),"MAX, Quinn XCII",Love Me Less (feat. Quinn XCII),2:57
18,3 Nights,Dominic Fike,"Don't Forget About Me, Demos",2:57
19,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo, Rita Ora","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3:35
20,Do You Mean (with Ty Dolla $ign & bülow),"The Chainsmokers, Ty Dolla $ign, bülow",World War Joy...Do You Mean,3:13
21,SOS,"Avicii, Aloe Blacc",SOS,2:37
22,Talk,Khalid,Free Spirit,3:17
23,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
24,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie",ME!,3:13
25,All Day And Night - Jax Jones & Martin Solveig Present Europa,"Jax Jones, Martin Solveig, Madison Beer, Europa",Snacks,2:49
26,Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,2:32
27,Get You The Moon (feat. Snøw),"Kina, Snøw",Get You The Moon (feat. Snøw),2:59
28,Sucker,Jonas Brothers,Sucker,3:01
29,Not Ok,"Kygo, Chelsea Cutler",Not Ok,3:30
30,"A Whole New World (End Title) - From ""Aladdin""","ZAYN, Zhavia Ward","A Whole New World (End Title) [From ""Aladdin""]",4:02
31,Sixteen,Ellie Goulding,Sixteen,3:21
32,"Hey Look Ma, I Made It",Panic! At The Disco,Pray For The Wicked,2:49
33,Bitter Love,Pia Mia,Bitter Love,3:37
34,Tough Love,"Avicii, Agnes, Vargas & Lagola",Tough Love,3:11
35,Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),2:58
36,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,"Don't Give Up On Me (From ""Five Feet Apart"")",3:16
37,Falling like the Stars,James Arthur,Falling like the Stars,3:32
38,Civil War,Russ,Civil War,2:23
39,What I Like About You (feat. Theresa Rex),"Jonas Blue, Theresa Rex",What I Like About You (feat. Theresa Rex),3:40
40,So Am I,Ava Max,So Am I,3:04
41,Juice,Lizzo,Cuz I Love You,3:15
42,Con Calma,"Daddy Yankee, Snow",Con Calma,3:13
43,Pop Out feat. Lil Tjay,"Polo G, Lil Tjay",Pop Out feat. Lil Tjay,2:46
44,Arcade,Duncan Laurence,Arcade,3:03
45,Here With Me,"Marshmello, CHVRCHES",Here With Me,2:36
46,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),4:26
47,Kill This Love,BLACKPINK,KILL THIS LOVE,3:09
48,Hey Julie! (feat. Lil Yachty),"KYLE, Lil Yachty",Hey Julie! (feat. Lil Yachty),2:36
49,Otro Trago,"Sech, Darell",Sueños,3:45
