,title,artists,album,length
0,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
1,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),4:02
2,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),3:02
3,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),2:56
4,Break My Heart,Dua Lipa,Break My Heart,3:41
5,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,3:43
6,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),3:26
7,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
8,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),2:52
9,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
10,Blinding Lights,The Weeknd,Blinding Lights,3:21
11,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),2:53
12,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,3:19
13,Toosie Slide,Drake,Toosie Slide,4:07
14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,2:45
15,Intentions,"Justin Bieber, Quavo",Intentions,3:32
16,Daisies,Katy Perry,Daisies,2:53
17,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),2:59
18,Sunday Best,Surfaces,Where the Light Is,2:38
19,Watermelon Sugar,Harry Styles,Fine Line,2:54
20,Breaking Me,"Topic, A7S",Breaking Me,2:46
21,In Your Eyes (with Doja Cat) - Remix,"The Weeknd, Doja Cat",In Your Eyes (Remix),3:57
22,Party Girl,StaySolidRocky,Party Girl,2:27
23,Blueberry Faygo,Lil Mosey,Blueberry Faygo,2:42
24,Don't Start Now,Dua Lipa,Don't Start Now,3:03
25,X (with KAROL G),"Jonas Brothers, KAROL G",XV,3:05
26,Boss Bitch,Doja Cat,Boss Bitch,2:14
27,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,3:16
28,Falling,Trevor Daniel,Falling,2:39
29,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,4:09
30,Salt,Ava Max,Salt,3:00
31,After Party,Don Toliver,Heaven Or Hell,2:47
32,Righteous,Juice WRLD,Righteous,4:03
33,Know Your Worth,"Khalid, Disclosure",Know Your Worth,3:01
34,This City,Sam Fischer,This City,3:14
35,Deep End Freestyle,Sleepy Hallow,Deep End Freestyle,1:55
36,Life Is Good (feat. Drake),"Future, Drake",Life Is Good (feat. Drake),3:57
37,WHATS POPPIN,Jack Harlow,WHATS POPPIN,2:19
38,Before You Go,Lewis Capaldi,Before You Go,3:35
39,IDK You Yet,Alexander 23,IDK You Yet,3:04
40,ROXANNE,Arizona Zervas,ROXANNE,2:43
41,I’m Ready (with Demi Lovato),"Sam Smith, Demi Lovato",I’m Ready (with Demi Lovato),3:20
42,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),3:28
43,Level of Concern,Twenty One Pilots,Level of Concern,3:40
44,Selfish,Madison Beer,Selfish,3:43
45,BELIEVE IT,"PARTYNEXTDOOR, Rihanna",PARTYMOBILE,3:03
46,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),3:28
47,Yo Perreo Sola,Bad Bunny,YHLQMDLG,2:52
48,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),2:53
49,Circles,Post Malone,Circles,3:34
