,title,artists,album,length
0,Heartless,The Weeknd,Heartless,3:20
1,Don't Start Now,Dua Lipa,Don't Start Now,3:03
2,Circles,Post Malone,Circles,3:34
3,ROXANNE,Arizona Zervas,ROXANNE,2:43
4,everything i wanted,Billie Eilish,everything i wanted,4:05
5,Dance Monkey,Tones and I,Dance Monkey,3:29
6,Memories,Maroon 5,Memories,3:09
7,Lose You To Love Me,Selena Gomez,Lose You To Love Me,3:26
8,hot girl bummer,blackbear,hot girl bummer,3:05
9,Blinding Lights,The Weeknd,Blinding Lights,3:21
10,Before You Go,Lewis Capaldi,Before You Go,3:35
11,Up All Night,Khalid,Up All Night,2:37
12,Lights Up,Harry Styles,Lights Up,2:52
13,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),3:04
14,Liar,Camila Cabello,Liar,3:27
15,Look At Her Now,Selena Gomez,Look At Her Now,2:42
16,Falling,Trevor Daniel,Falling,2:39
17,Mean It,"Lauv, LANY",how i'm feeling,3:52
18,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) [Remix],2:39
19,Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",Lover (Remix) [feat. Shawn Mendes],3:41
20,Watermelon Sugar,Harry Styles,Watermelon Sugar,2:54
21,South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",No.6 Collaborations Project,3:24
22,Graveyard,Halsey,Graveyard,3:01
23,Yellow Hearts,Ant Saunders,Yellow Hearts,3:43
24,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2:38
25,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
26,Trigger,"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,2:51
27,RITMO (Bad Boys For Life),"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),3:41
28,Loyal (feat. Drake),"PARTYNEXTDOOR, Drake",Loyal (feat. Drake),3:17
29,Ride It,Regard,Ride It,2:37
30,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2:55
31,Living Proof,Camila Cabello,Living Proof,3:14
32,Candy,Doja Cat,Amala,3:10
33,Tongue Tied (with YUNGBLUD & blackbear),"Marshmello, YUNGBLUD, blackbear",Tongue Tied (with YUNGBLUD & blackbear),3:06
34,Who Needs Love,Trippie Redd,Who Needs Love,2:38
35,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3:36
36,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,2:48
37,Vete,Bad Bunny,Vete,3:12
38,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
39,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
40,BOP,DaBaby,KIRK,2:39
41,Tusa,"KAROL G, Nicki Minaj",Tusa,3:20
42,If The World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If The World Was Ending (feat. Julia Michaels),3:28
43,Orphans,Coldplay,Orphans / Arabesque,3:17
44,Used To Love (with Dean Lewis),"Martin Garrix, Dean Lewis",Used To Love (with Dean Lewis),3:56
45,July,Noah Cyrus,July,2:36
46,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",2:47
47,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
48,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
49,Follow God,Kanye West,JESUS IS KING,1:44
