,title,artists,album,length
0,Mood (feat. iann dior),"24kGoldn, iann dior",Mood (feat. iann dior),2:20
1,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40
2,Holy (feat. Chance The Rapper),"Justin Bieber, Chance the Rapper",Holy,3:32
3,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",3:15
4,you broke me first,Tate McRae,you broke me first,2:49
5,Wonder,Shawn Mendes,Wonder,2:52
6,Head & Heart (feat. MNEK),"Joel Corry, MNEK",Head & Heart (feat. MNEK),2:46
7,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,3:10
8,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),4:21
9,Put Your Records On,Ritt Momney,Put Your Records On,3:30
10,Dynamite,BTS,Dynamite,3:19
11,Take You Dancing,Jason Derulo,Take You Dancing,3:10
12,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),3:23
13,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),2:18
14,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",THE ALBUM,2:39
15,Breaking Me,"Topic, A7S",Breaking Me,2:46
16,Watermelon Sugar,Harry Styles,Fine Line,2:54
17,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat","Baby, I'm Jealous (feat. Doja Cat)",2:55
18,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,3:01
19,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),3:07
20,Midnight Sky,Miley Cyrus,Midnight Sky,3:43
21,Diamonds,Sam Smith,Diamonds,3:33
22,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2:51
23,Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin, Drake",SAVAGE MODE II,3:13
24,Go Crazy,"Chris Brown, Young Thug",Slime & B,2:56
25,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",THE ALBUM,2:55
26,Mad at Disney,salem ilese,Mad at Disney,2:16
27,Daisy,Ashnikko,Daisy,2:26
28,POPSTAR (feat. Drake),"DJ Khaled, Drake",POPSTAR (feat. Drake),3:20
29,Better,ZAYN,Better,2:54
30,OK Not To Be OK,"Marshmello, Demi Lovato",OK Not To Be OK,2:39
31,Sofia,Clairo,Immunity,3:08
32,Your Man,Joji,Nectar,2:43
33,Wolves (feat. Post Malone),"Big Sean, Post Malone",Detroit 2,3:19
34,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),2:58
35,FRANCHISE (feat. Young Thug & M.I.A.),"Travis Scott, Young Thug, M.I.A.",FRANCHISE (feat. Young Thug & M.I.A.),3:22
36,Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,3:25
37,Be Like That - feat. Swae Lee & Khalid,"Kane Brown, Swae Lee, Khalid",Be Like That (feat. Swae Lee & Khalid),3:11
38,Heather,Conan Gray,Kid Krow,3:18
39,Kings & Queens,Ava Max,Kings & Queens,2:42
40,Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),2:33
41,Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),3:00
42,Wishing Well,Juice WRLD,Legends Never Die,3:14
43,Stunnin',"Curtis Waters, Harm Franklin",Stunnin',2:24
44,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",UN DIA (ONE DAY) (Feat. Tainy),3:52
45,Jerusalema (feat. Nomcebo Zikode),"Master KG, Nomcebo Zikode",Jerusalema,5:42
46,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
47,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,3:48
48,my future,Billie Eilish,my future,3:28
49,Hawái,Maluma,Hawái,3:20
