,title,artists,album,length
0,Circles,Post Malone,Circles,3:34
1,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",Don’t Call Me Angel (Charlie’s Angels),3:10
2,Memories,Maroon 5,Memories,3:09
3,Dance Monkey,Tones and I,Dance Monkey,3:29
4,hot girl bummer,blackbear,hot girl bummer,3:05
5,Liar,Camila Cabello,Liar,3:27
6,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:02
7,How Do You Sleep?,Sam Smith,How Do You Sleep?,3:22
8,Writing on the Wall (feat. Post Malone & Cardi B),"French Montana, Rvssian, Post Malone, Cardi B",Writing on the Wall (feat. Post Malone & Cardi B),3:21
9,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3:17
10,Panini,Lil Nas X,7 EP,1:54
11,Good As Hell,Lizzo,Good As Hell,2:39
12,Graveyard,Halsey,Graveyard,3:01
13,Saint-Tropez,Post Malone,Hollywood's Bleeding,2:30
14,Lonely (with Jonas Brothers),"Diplo, Jonas Brothers",Lonely,2:21
15,Ride It,Regard,Ride It,2:37
16,Motivation,Normani,Motivation,3:13
17,BOP,DaBaby,KIRK,2:39
18,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv, Anne-Marie","fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",3:18
19,Señorita,"Shawn Mendes, Camila Cabello",Señorita,3:10
20,Slide Away,Miley Cyrus,Slide Away,3:53
21,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",World War Joy...Takeaway,3:29
22,Teeth,5 Seconds of Summer,Teeth,3:24
23,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,3:49
24,Shameless,Camila Cabello,Shameless,3:39
25,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,3:06
26,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
27,Heartless (feat. Morgan Wallen),"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),2:49
28,Right Back (feat. A Boogie Wit Da Hoodie),"Khalid, A Boogie Wit da Hoodie",Right Back (feat. A Boogie Wit Da Hoodie),4:14
29,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,3:40
30,Feelings,Lauv,Feelings,3:09
31,Wanted,OneRepublic,Wanted,2:16
32,Truth Hurts,Lizzo,Truth Hurts,2:53
33,Ransom,Lil Tecca,Ransom,2:11
34,Lalala,"Y2K, bbno$",Lalala,2:40
35,Hot (feat. Gunna),"Young Thug, Gunna",So Much Fun,3:13
36,Que Calor (feat. J Balvin & El Alfa),"Major Lazer, J Balvin, El Alfa, Diplo",Que Calor (feat. J Balvin & El Alfa),2:49
37,I.F.L.Y.,Bazzi,I.F.L.Y.,2:45
38,Post Malone (feat. RANI),"Sam Feldt, RANI",Magnets EP,2:54
39,Outnumbered,Dermot Kennedy,Outnumbered,4:05
40,One Thing Right,"Marshmello, Kane Brown",One Thing Right,3:01
41,It's You,Ali Gatie,It's You,3:32
42,all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2:48
43,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj",Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),3:19
44,Be Honest (feat. Burna Boy),"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),3:27
45,Lover,Taylor Swift,Lover,3:41
46,Graduation (with Juice WRLD),"benny blanco, Juice WRLD",Graduation (with Juice WRLD),2:57
47,Higher Love,"Kygo, Whitney Houston",Higher Love,3:48
48,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",3:21
49,No Guidance (feat. Drake),"Chris Brown, Drake",Indigo,4:20
